date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,stock_code,ma5,ma10,ma20,dif,dea,macd
2026-05-22,000869,18.73,18.49,18.79,18.35,21562,40330061.0,2.32,-2.32,-0.44,0.47,000869,18.822000000000003,18.857,18.918,-0.08539316033096611,-0.07085789777261692,-0.029070525116698387
2026-05-25,000869,18.49,18.33,18.6,18.25,14486,26985839.48,1.89,-0.87,-0.16,0.32,000869,18.727999999999998,18.779,18.899,-0.12087885798243647,-0.08086208981458083,-0.08003353633571128
2026-05-26,000869,18.34,18.11,18.41,17.99,13196,24372917.76,2.29,-1.2,-0.22,0.29,000869,18.565999999999995,18.688,18.865000000000002,-0.1648533634588567,-0.09766034454343601,-0.13438603783084138
2026-05-27,000869,18.1,17.87,18.19,17.6,16997,30803660.48,3.26,-1.33,-0.24,0.37,000869,18.345999999999997,18.603,18.8075,-0.21657295192660797,-0.12144286602007041,-0.1902601718130751
2026-05-28,000869,17.9,17.57,17.96,17.48,13629,24403168.25,2.69,-1.68,-0.3,0.3,000869,18.074,18.483999999999998,18.742,-0.27855755312582176,-0.1528658034412207,-0.2513834993692021
2026-05-29,000869,17.52,17.99,18.06,17.27,15256,27525917.89,4.5,2.39,0.42,0.34,000869,17.973999999999997,18.398,18.683999999999997,-0.2904422685596728,-0.18038109646491113,-0.22012234418952337
2026-06-01,000869,17.99,18.24,18.26,17.78,11949,21873048.64,2.67,1.39,0.25,0.26,000869,17.955999999999996,18.342000000000002,18.645,-0.27650075195018786,-0.1996050275619665,-0.15379144877644274
2026-06-02,000869,18.23,18.09,18.33,17.98,8730,16064011.0,1.92,-0.82,-0.15,0.19,000869,17.951999999999998,18.258999999999997,18.5945,-0.2743927175473111,-0.21456256555903544,-0.11966030397655131
2026-06-03,000869,18.15,17.83,18.15,17.64,9111,16395020.15,2.82,-1.44,-0.26,0.2,000869,17.944,18.145,18.532999999999998,-0.29035488184651115,-0.2297210288165306,-0.12126770605996112
2026-06-04,000869,17.73,17.37,17.9,17.33,8857,15731294.72,3.2,-2.58,-0.46,0.19,000869,17.904,17.988999999999997,18.4515,-0.33624712017954295,-0.25102624708913307,-0.17044174618081975
2026-06-05,000869,17.47,17.61,17.73,17.41,7531,13439762.32,1.84,1.38,0.24,0.17,000869,17.828,17.901,18.379,-0.34922540240423317,-0.2706660781521531,-0.15711864850416013
2026-06-08,000869,17.56,17.27,17.7,17.15,9841,17317224.0,3.12,-1.93,-0.34,0.22,000869,17.634,17.794999999999998,18.287,-0.38253630269532124,-0.29304012306078675,-0.17899235926906898
2026-06-09,000869,17.24,17.26,17.38,17.12,5393,9431786.0,1.51,-0.06,-0.01,0.12,000869,17.468,17.71,18.198999999999998,-0.40507291913198173,-0.31544668227502576,-0.17925247371391195
2026-06-10,000869,17.33,17.27,17.36,17.11,7398,12939402.5,1.45,0.06,0.01,0.16,000869,17.356,17.65,18.1265,-0.41731587595122477,-0.3358205210102656,-0.16299070988191833
2026-06-11,000869,17.27,17.03,17.3,16.92,9922,17194932.43,2.2,-1.39,-0.24,0.22,000869,17.288,17.596,18.04,-0.4412974988044631,-0.35691591656910515,-0.16876316447071593
2026-06-12,000869,17.28,17.49,17.54,17.15,11110,19352190.59,2.29,2.7,0.46,0.24,000869,17.264,17.546,17.972,-0.41836233153786395,-0.3692051995628569,-0.09831426395001408
2026-06-15,000869,17.55,17.63,17.68,17.4,7571,13289898.55,1.6,0.8,0.14,0.17,000869,17.336000000000002,17.485,17.9135,-0.38445743032855617,-0.3722556457159968,-0.02440356922511877
2026-06-16,000869,17.63,17.27,17.63,17.15,9922,17130778.8,2.72,-2.04,-0.36,0.22,000869,17.338,17.403,17.831,-0.3822304287505709,-0.37425060232291163,-0.01595965285531853
2026-06-17,000869,17.27,16.96,17.27,16.77,10082,17064481.0,2.9,-1.8,-0.31,0.22,000869,17.276,17.316,17.7305,-0.40085906935185633,-0.37957229572870055,-0.04257354724631157
2026-06-18,000869,16.97,16.71,16.97,16.66,11115,18627612.46,1.83,-1.47,-0.25,0.24,000869,17.212,17.25,17.6195,-0.43082898356253096,-0.38982363329546665,-0.08201070053412862
2026-06-22,000869,16.69,16.67,16.75,16.31,13767,22712417.6,2.63,-0.24,-0.04,0.3,000869,17.048000000000002,17.156,17.5285,-0.45259083676391043,-0.40237707398915545,-0.10042752554950996
2026-06-23,000869,16.76,16.89,17.17,16.68,9307,15746895.0,2.94,1.32,0.22,0.2,000869,16.900000000000002,17.118000000000002,17.4565,-0.44693313386739675,-0.41128828596480377,-0.07128969580518596
2026-06-24,000869,16.96,16.46,16.96,16.44,7358,12231324.0,3.08,-2.55,-0.43,0.16,000869,16.738,17.038000000000004,17.374,-0.4717091998730645,-0.42337246874645595,-0.09667346225321705
2026-06-25,000869,16.46,16.3,16.5,16.18,9173,14964488.0,1.94,-0.97,-0.16,0.2,000869,16.606,16.941,17.295499999999997,-0.49850857694447726,-0.43839969038606025,-0.12021777311683401
2026-06-26,000869,16.22,15.75,16.37,15.75,17085,27354448.57,3.8,-3.37,-0.55,0.38,000869,16.413999999999998,16.813,17.2045,-0.5576988743429396,-0.4622595271774361,-0.19087869433100701
2026-06-29,000869,15.76,15.86,16.05,15.28,22884,35779803.98,4.89,0.7,0.11,0.5,000869,16.252,16.65,17.098000000000003,-0.5889425674688837,-0.48759613523572565,-0.20269286446631618
2026-06-30,000869,15.86,15.58,15.86,15.47,11413,17783586.01,2.46,-1.77,-0.28,0.25,000869,15.99,16.445,16.965,-0.6290458305451168,-0.5158860742976039,-0.2263195124950257
2026-07-01,000869,15.58,15.81,15.98,15.52,14871,23471188.0,2.95,1.48,0.23,0.33,000869,15.860000000000003,16.299,16.851,-0.6349495742026185,-0.5396987742786069,-0.19050159984802328
